ID,Gender,Edited Q1,Edited Q2,Edited Q3
O.A,F,Error helps determine the strength of the experiment and the power to reject the null hypothesis. Se,SE of Mean tells you how far the sample mean is from the main mean (population). SE of Difference is the difference between the two SE of Mean.,IV effect is the difference between the sample means. It indicates the error within the samples relative to the population mean.
I.A,F,"The role that error plays in statistical inference has to do with type one and type two error. Error helps us determine our ""null hypothesis."" Meaning, did our results occur as a result of the independent variable? Or did it occur by chance, or error.","SE of Mean: this term explains how far off a sample of a population is from the sample mean. This will help us decide how accurate the data represents a population. SE of Difference: The standard error of the differences of the mean tells us that the standard error of the mean is smaller than the SE of Different and it shows uncertainty.
","IV Effect: The effect that the independent variable has on our experiment. The higher the effect of the IV, the lower chance of error which is what we are looking for when using statistical inference."
J.B,M?,"Error plays a role in statistical inference by showing between and within group differences. Error also shows where the data differs. In stats, error is always involved and is a part of many aspects of stats.","The SE of the Mean is found by dividing standard deviation by the square root of n. The SE of the Mean is to find the error between the SD and the number of samples. The SE of Difference is the difference of within groups. SE of Difference is found by adding SEM1 and SEM2, and squaring both of the SDs. ",IV effect shows the difference between groups. IV effect is also part of finding t test. To find the IV effect it is M1-M2. It plays a role in statistical inference because it shows the difference in the two means of our experiment. 
P.C,F,Error lets you know if the results of the study were purely due to chance. Error describes the difference WITHIN groups.,Standard Error of the Mean shows how much the means of two different samples differ from each other. The Standard of error of the difference kind of does the same but instead your using the sqaure root of the SD/n and adding them for both samples.,The IV Effect is the difference between two means. M1-M2. The IV effect shows the difference BETWEEN groups.
K.C,F,Error allows us to gain knowledge on a population and what has statistical significance. ,"Standard Error of the mean is the error of the mean of a set of data, while SE of Difference calculates the difference between means. ","The IV Effect is the signifigance that the independent variable has in a set of data, and it shows how data may be changed when an independent variable is applied. "
A.C,F,"The role that error plays in statistical inference is that an inference can be influenced by the data presented. And if there is error present in the data, the statistical inference wouldn't be accurate to the data. Fix the error, and the inference of the data would likely change. ","The Standard Error of the Mean, is the standard error of an individual mean of a sample. While the Standard Error of the Difference is in reference to the standard error of two samples. ","The IV Effect is what effect the independent variable had on the results of research. The role that this plays on statistical inference is that, if the IV Effect is present and affected the outcome of what is being observed, the statistical inference would be that there was an IV Effect and that there is statistical significance. "
A.G,F,"The chance of error can be decreased when the sample size is larger, when the sample size is smaller, an error has more of a chance of occurring.",Standard Error of the Mean is the ratio between a samples standard deviation and the square root of the sample size. The standard error of the difference is SD1 squared over the sample size added to SD2 squared over the sample size and all of the square rooted.,The IV effect is when you subtract the means from 2 samples. It shows the difference between the average of each sample.
A.K,F,It allows people to determine how accurate a study may be and to make inferences and predictions based on how consistent the data is in an experiment.,SE of Mean describes the variability within a data set. SE of Difference represents how far values are from the mean of the data set.,The IV effect is used to represent relationships between data and the causality between them. It allows for predictions and inference by providing an accurate representation of the relationship between data sets.
K.K,F?,Error can help measure the random chance in an experiment.,SEM: Identifies the amount of average error in a set of data. SED: Measures the difference of error between 2 or more sets of data.,IV Effect is the difference between both Means. Can be used to find the t-value in data.
E.L,F,It weakens statistical inferences.,SE of the mean is the difference between the mean of the control group and the mean of the experimental group. I don't know what SE of difference is.,The IV effect is the difference in means. It tells us if the IV caused a change in DV.
C.MD,M?,"Discovering error, also known as chance, can help to determine whether a researchers hypothesis can be accurate or not. A big value of error can lead to big statistical interferance with the experiment while a small value of error means small statistical interferance. ","Standard error of the means refers to the error found between groups, Ex, Type A and Type B groups of data, while Standard Error of Difference refers to within group error. ","The IV effect is a measure of the difference between two groups of data. If there is a big IV effect then there is a big difference between the groups means, which could lead to statistical interference. "
S.M,F,"Error affects the overall presentation of the IV effect in an experiment. Smaller error equal greater IV effect (this is because t-scores are calculated by dividing IV effect/error). Nuisance error may cause within-group differences that influence the overall statistical measures of a group (such as the group mean and standard deviation). While these may increase or decrease the percieved effect (or lack of effect) of the independent variable, they are likely to be deemed insignificant in the long run, as more samples are taken out of a population and more data is gathered. Confounds, however, are a type of error that cause between group differences, and may cause researchers to commit Type I and Type II errors. This occurs when confounds amplify or diminish the IV effect in an experiment, and because statistics alone is unable to detect the presence of a confound, researchers may mistake this as their hypothesis being proven/disproven.","SE of Mean refers to a process that takes the means of multiple samples, calculates a ""mean of means"" from that data, and determines standard error by comparing each individual mean to the ""mean of means"". SE of Difference refers to a process that takes the difference between the means of two different samples (the IV Effect) and....? (Don't know how to explain this one).","The IV Effect is the percieved difference between the control group and the experimental group, caused by the presence of (or lack of) an independent variable. The independent variable is a variable that researchers manipulate in an experiment to see whether it is causing a certain condition. In statistical inference, if the percieved IV effect is deemed ""statistically significant"", meaning it falls within the 5% of results that are unlikely to occur by chance, researchers will reject the null hypothesis, which means that their hypothesis (that the IV effect caused a difference) may be correct. On the other hand, it the percieved IV effect is not ""statistically significant"", researchers must fail to reject the null hypothesis, which means they acknowlege that the results of their experiment were likely to occur by chance alone. Greater IV effects are more likely to be ""statistically significant""; therefore the larger the IV Effect (if error remains small as well), the more likely researchers are to reject the null hypothesis."
O.P,F,Error which is also known as chance shows the statistical significance. ,SEM is the iv effect divided by the SD sqaured over the square root of n. ,The iv effect is the difference between the two means. 
